21206: TaskCorrectCourse::CorrectCourse: dt=0.101, w0=1.591, wz=2.755, w1=1.649, h0=-1.532, h1=-1.366, ei=94.535, correction=4
21316: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=1.649, wz=5.693, w1=1.851, h0=-1.366, h1=-1.162, ei=95.697, correction=4
21427: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=1.851, wz=0.380, w1=1.778, h0=-1.162, h1=-0.965, ei=96.661, correction=4
21538: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=1.778, wz=0.630, w1=1.720, h0=-0.965, h1=-0.774, ei=97.435, correction=4
21642: TaskCorrectCourse::CorrectCourse: dt=0.104, w0=1.720, wz=2.818, w1=1.775, h0=-0.774, h1=-0.589, ei=98.024, correction=4
21748: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=1.775, wz=0.192, w1=1.696, h0=-0.589, h1=-0.409, ei=98.434, correction=4
21855: TaskCorrectCourse::CorrectCourse: dt=0.108, w0=1.696, wz=1.442, w1=1.683, h0=-0.409, h1=-0.228, ei=98.662, correction=4
21961: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=1.683, wz=1.067, w1=1.653, h0=-0.228, h1=-0.052, ei=98.714, correction=4
22068: TaskCorrectCourse::CorrectCourse: dt=0.107, w0=1.653, wz=3.443, w1=1.742, h0=-0.052, h1=0.134, ei=98.580, correction=4
22177: TaskCorrectCourse::CorrectCourse: dt=0.109, w0=1.742, wz=5.568, w1=1.933, h0=0.134, h1=0.345, ei=98.235, correction=4
22288: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=1.933, wz=2.630, w1=1.968, h0=0.345, h1=0.561, ei=97.674, correction=4
22397: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=1.968, wz=2.068, w1=1.973, h0=0.561, h1=0.778, ei=96.896, correction=4
22501: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=1.973, wz=2.318, w1=1.990, h0=0.778, h1=0.983, ei=95.913, correction=4
22606: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=1.990, wz=4.880, w1=2.135, h0=0.983, h1=1.207, ei=94.706, correction=4
22711: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=2.135, wz=3.005, w1=2.178, h0=1.207, h1=1.438, ei=93.267, correction=4
22811: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=2.178, wz=4.318, w1=2.285, h0=1.438, h1=1.667, ei=91.601, correction=4
22918: TaskCorrectCourse::CorrectCourse: dt=0.107, w0=2.285, wz=3.318, w1=2.337, h0=1.667, h1=1.917, ei=89.684, correction=4
23025: TaskCorrectCourse::CorrectCourse: dt=0.107, w0=2.337, wz=3.068, w1=2.373, h0=1.917, h1=2.171, ei=87.513, correction=4
23126: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=2.373, wz=-0.182, w1=2.246, h0=2.171, h1=2.395, ei=85.118, correction=4
23237: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=2.246, wz=2.005, w1=2.234, h0=2.395, h1=2.643, ei=82.475, correction=4
23342: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=2.234, wz=0.630, w1=2.153, h0=2.643, h1=2.869, ei=79.605, correction=3
23443: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=2.153, wz=0.317, w1=2.062, h0=2.869, h1=3.080, ei=76.526, correction=3
23547: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=2.062, wz=1.255, w1=2.021, h0=3.080, h1=3.286, ei=73.240, correction=3
23651: TaskCorrectCourse::CorrectCourse: dt=0.104, w0=2.021, wz=1.755, w1=2.008, h0=3.286, h1=3.495, ei=69.745, correction=3
23754: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=2.008, wz=0.130, w1=1.914, h0=3.495, h1=3.696, ei=66.050, correction=3
23858: TaskCorrectCourse::CorrectCourse: dt=0.104, w0=1.914, wz=0.943, w1=1.865, h0=3.696, h1=3.890, ei=62.160, correction=3
23959: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=1.865, wz=2.318, w1=1.888, h0=3.890, h1=4.078, ei=58.081, correction=2
24069: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=1.888, wz=0.505, w1=1.819, h0=4.078, h1=4.280, ei=53.801, correction=2
24178: TaskCorrectCourse::CorrectCourse: dt=0.109, w0=1.819, wz=2.130, w1=1.834, h0=4.280, h1=4.480, ei=49.321, correction=2
24279: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=1.834, wz=3.068, w1=1.896, h0=4.480, h1=4.670, ei=44.651, correction=2
24386: TaskCorrectCourse::CorrectCourse: dt=0.107, w0=1.896, wz=0.068, w1=1.805, h0=4.670, h1=4.863, ei=39.788, correction=1
24487: TaskCorrectCourse::CorrectCourse: dt=0.101, w0=1.805, wz=0.693, w1=1.749, h0=4.863, h1=5.040, ei=34.748, correction=1
24588: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=1.749, wz=1.067, w1=1.715, h0=5.040, h1=5.211, ei=29.537, correction=1
24694: TaskCorrectCourse::CorrectCourse: dt=0.107, w0=1.715, wz=0.317, w1=1.645, h0=5.211, h1=5.387, ei=24.150, correction=1
24797: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=1.645, wz=0.755, w1=1.601, h0=5.387, h1=5.552, ei=18.598, correction=0
24907: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=1.601, wz=0.068, w1=1.524, h0=5.552, h1=5.720, ei=12.878, correction=0
25018: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=1.524, wz=1.692, w1=1.532, h0=5.720, h1=5.890, ei=6.988, correction=0
25120: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=1.532, wz=-0.058, w1=1.453, h0=5.890, h1=6.038, ei=0.950, correction=0
25225: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=1.453, wz=2.380, w1=1.499, h0=6.038, h1=6.197, ei=-5.247, correction=0
25328: TaskCorrectCourse::CorrectCourse: dt=0.104, w0=1.499, wz=-0.307, w1=1.409, h0=6.197, h1=6.343, ei=-11.590, correction=0
25428: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=1.409, wz=2.068, w1=1.442, h0=6.343, h1=6.488, ei=-18.078, correction=0
25535: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=1.442, wz=-0.182, w1=1.361, h0=6.488, h1=6.632, ei=-24.709, correction=-1
25641: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=1.361, wz=-0.182, w1=1.283, h0=6.632, h1=6.767, ei=-31.476, correction=-1
25745: TaskCorrectCourse::CorrectCourse: dt=0.104, w0=1.283, wz=-0.620, w1=1.188, h0=6.767, h1=6.890, ei=-38.366, correction=-1
